City,Population,MedianIncome,PopulationWithHighSchoolDiploma,PopulationWithAssociatesDegree,PopulationWithBachelorsDegree,PopulationWithHighSpeedInternet,Latitude,Longitude
"Albany, VT",498.0,48214.0,110.0,23.0,94.0,174,44.7299323,-72.38175799999998
"Albany, WI",2515.0,57267.0,614.0,220.0,189.0,1029,42.7070726,-89.43691779999997
"Albemarle, NC",26557.0,49205.0,5024.0,2388.0,2134.0,16162,35.3600394,-80.1921349
"Albers, IL",2103.0,73864.0,335.0,176.0,278.0,1168,38.5451838,-89.61428719999998
"Albert City, IA",1003.0,65268.0,272.0,91.0,118.0,708,42.78160220000001,-94.949139
"Albert Lea, MN",21075.0,49953.0,4428.0,1976.0,1799.0,16711,43.65429260000001,-93.3641484
"Albert, KS",278.0,44500.0,69.0,19.0,27.0,175,38.4539591,-99.011129
"Alberta, MN",256.0,66250.0,77.0,24.0,28.0,109,45.5749217,-96.0503575
"Alberta, VA",2016.0,55198.0,359.0,142.0,178.0,291,36.8540058,-77.893986
"Alberton, MT",2017.0,52941.0,312.0,230.0,228.0,350,47.004437,-114.4852826
"Albertson, NY",7225.0,133324.0,681.0,323.0,1428.0,5306,40.7715889,-73.6481547
"Albertville, AL",33553.0,40835.0,4891.0,1628.0,2083.0,19149,34.26313029999999,-86.21066
"Albertville, MN",13657.0,96286.0,2027.0,1198.0,2096.0,7378,45.2360482,-93.6626676
"Albia, IA",5880.0,56000.0,1208.0,328.0,658.0,3319,41.0267585,-92.8037433
"Albin, WY",256.0,73500.0,7.0,3.0,49.0,164,41.4169408,-104.1015494
"Albion, CA",997.0,64625.0,139.0,64.0,276.0,155,39.2253267,-123.75758590000002
"Albion, IA",1057.0,56914.0,249.0,50.0,90.0,512,42.1125356,-92.9885688
"Albion, ID",981.0,52105.0,181.0,50.0,36.0,277,42.4098076,-113.5804379
"Albion, IL",3419.0,51322.0,749.0,355.0,233.0,1741,38.3765977,-88.0576248
"Albion, IN",8102.0,58906.0,2296.0,646.0,418.0,2340,41.3965917,-85.4186942
"Albion, MI",13966.0,41895.0,2979.0,584.0,921.0,8286,42.247855,-84.759191
"Albion, NE",2772.0,57399.0,707.0,226.0,280.0,1502,41.6872985,-97.9987165
"Albion, NY",13776.0,47278.0,2986.0,1172.0,869.0,5546,43.24602410000001,-78.19019990000002
